who_region,scenario,metric_2026,share_2026,metric_2030,share_2030,metric_2040,share_2040,metric_2050,share_2050,metric_total,share_total
Africa,all_interventions,3231467525.69373,0.000459875478950332,17620480331.6281,0.00240237251240278,23720637372.0137,0.00273733669633134,31159099463.3617,0.00307500993721645,531528785336.887,0.00251749546058659
Americas,all_interventions,66126714311.6368,0.00162013764404646,330028204711.947,0.00838528543717101,344146746372.795,0.00972030045265333,329883415578.863,0.0105199783331124,7762796655080.61,0.0085851300893107
Eastern Mediterranean,all_interventions,11339505375.3509,0.0010527816210109,65092730023.3701,0.00578818847895483,92954467843.5053,0.00758591948114275,114737250147.425,0.00885973308116735,2049990117503.46,0.00684010865464379
Europe,all_interventions,95910813308.3975,0.00228888229320513,486036633448.327,0.0121099981204669,488678917405.804,0.0138723466263135,445730083330.341,0.0149081907421438,11068334266622.9,0.012261169361847
South-East Asia,all_interventions,23721622360.4607,0.00102878423056237,129864276847.804,0.00512617229206261,163541269247.097,0.0056958121911739,202927641127.978,0.00679393574820853,3680911063028.29,0.00534028482842559
Western Pacific,all_interventions,70934066356.5074,0.00153081120510441,439442342060.671,0.00937186670128274,532474456505.67,0.012145209556728,618605337438.492,0.0162059439045005,12120031642541.5,0.0110475530348337
World,all_interventions,271264189238.047,0.00159650088804243,1468084667423.75,0.00862074793749976,1645516494746.89,0.0100271671099682,1743042827086.46,0.0114387891785952,37213592530113.7,0.0090673858914698
Africa,bp_combined,1638590475.12443,0.000233190515937345,9505983935.70785,0.00129604381269309,15318943425.4846,0.00176779001887516,21068233357.3468,0.00207916878373246,335983467389.629,0.00159132840463087
Americas,bp_combined,50431842301.151,0.00123560541335305,257216926994.223,0.00653531219854696,276690712121.504,0.00781502914854301,263503565956.003,0.00840312569121049,6181240692890.9,0.00683603575099164
Eastern Mediterranean,bp_combined,4922540755.04689,0.00045701820882378,30723480370.3778,0.00273199933463181,50601830551.4405,0.00412956387215203,65780453498.0994,0.0050794075960725,1101256750462.12,0.00367451324057817
Europe,bp_combined,49887707819.3032,0.00119055492428189,274691564045.104,0.00684416378389711,319774626540.446,0.00907758510479242,300165698894.616,0.0100395455921098,7006783018916.02,0.00776190447515781
South-East Asia,bp_combined,10335279127.5421,0.000448231239133058,59649220687.9388,0.00235455191955517,87919250680.7387,0.00306204997779247,113000739070.931,0.00378321926219906,1930638351327.49,0.00280098011612609
Western Pacific,bp_combined,37447129015.9091,0.000808137579600146,232858992204.504,0.00496612007141166,303354936194.798,0.00691922255638653,358475999171.297,0.00939119270734947,6814310075031.91,0.00621132470359876
World,bp_combined,154663089494.077,0.000910255645679778,864646168237.855,0.00507729345377876,1053660299514.41,0.00642061500695884,1121994689948.29,0.00736313561455894,23370212356018.1,0.00569433691805311
Africa,bp_diabetes_only,1005417615.37184,0.000143082640855246,6137567459.50161,0.000836794632167784,10096590750.0694,0.00116513599253502,13998511966.4328,0.00138147649143837,220888588291.647,0.00104620113465191
Americas,bp_diabetes_only,24568301936.3352,0.000601935711334014,131728583316.62,0.00334693143062763,153704117873.701,0.0043413172499501,149200341470.458,0.00475799717548083,3373454038859.5,0.00373081288364865
Eastern Mediterranean,bp_diabetes_only,2897293584.37773,0.000268990342641932,18771048783.8154,0.00166916287378592,33482170331.9731,0.00273244583165027,45898157789.8035,0.0035441447865664,729440359807.685,0.00243389042491743
Europe,bp_diabetes_only,29072373263.0614,0.000693803316726177,166264653636.468,0.00414261910414571,199726813668.501,0.00566973423876556,188753587016.27,0.00631318051830238,4347049891492.57,0.00481553173766331
South-East Asia,bp_diabetes_only,6102510470.84624,0.00026466008284968,36796519625.3904,0.00145248026575527,57509039482.7799,0.00200292372498224,75095891569.4717,0.00251418022424883,1254700212803.47,0.00182032556503667
Western Pacific,bp_diabetes_only,18301756164.1602,0.000394965844314872,118517733514.824,0.00252759530415421,165234573056.694,0.00376883527701891,199876446285.745,0.00523627308123537,3681081610914.47,0.00335534968237105
